ID_HDC_G0,UC_NM_MN,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
2124,Ilaro,20,0,,,TRUE
2125,Lagos,20,0,,,TRUE
2126,Aiyetoro,40,0,,,TRUE
2128,Messaad,20,0,,,TRUE
2132,Dosso,20,0,,,TRUE
2134,Nikki,20,0,,,TRUE
2136,Aiyete,20,0,,,TRUE
2137,Bordj Menaiel,20,0,,,TRUE
2139,Abeokuta,20,0,,,TRUE
2140,Filingu‚,20,0,,,TRUE
2141,Igbo Ora,20,0,,,TRUE
2143,Ghardaia,40,0,,,TRUE
2146,Sidi Aissa,20,0,,,TRUE
2147,Ilero,20,0,,,TRUE
2148,Iwere,20,0,,,TRUE
2150,Malanville,20,0,,,TRUE
2151,Saki,20,0,,,TRUE
2153,Abala,20,0,,,TRUE
2156,Otu,20,0,,,TRUE
2157,Ogunrun-Ori,20,0,,,TRUE
2158,Bouira,20,0,,,TRUE
2159,Gaya,20,0,,,TRUE
2160,Ago Are,20,0,,,TRUE
2161,Eruwa Titun,80,0,,,TRUE
2165,Ikorodu,20,0,,,TRUE
2170,Tizi Ouzou,20,0,,,TRUE
2173,Iseyin,20,0,,,TRUE
2174,Kamba,20,0,,,TRUE
2175,Sagamu,40,0,,,TRUE
2177,Bou Saada,20,0,,,TRUE
2178,Ishara,80,0,,,TRUE
2180,Lakuwe,640,0,,,TRUE
2182,Ilishan,20,0,,,TRUE
2184,Igboho,20,0,,,TRUE
2189,Ibadan,20,0,,,TRUE
2190,Kishi,20,0,,,TRUE
2191,Oyo,20,0,,,TRUE
2192,Ijebu-Ode,20,0,,,TRUE
2193,Ago-Iwoye,20,0,,,TRUE
2196,Kaiama,20,0,,,TRUE
2200,Epe,20,0,,,TRUE
2201,Dogondoutchi,20,0,,,TRUE
2202,Bunza,20,0,,,TRUE
2203,M'Sila,20,0,,,TRUE
2204,Ijebu-Igbo,20,0,,,TRUE
2206,Dakingari,20,0,,,TRUE
2207,Guerrara,20,0,,,TRUE
2210,Igbeti,40,0,,,TRUE
2211,Birnin Kebbi,20,0,,,TRUE
2212,Iwo,20,0,,,TRUE
2213,Bordj Bou Arreridjj,20,0,,,TRUE
2214,Ikire,20,0,,,TRUE
2215,Bagudo,20,0,,,TRUE
2216,Ogbomosho,20,0,,,TRUE
2222,Ejigbo,20,0,,,TRUE
2223,Awbere,20,0,,,TRUE
2224,Jega,20,0,,,TRUE
2225,Gbongan,20,0,,,TRUE
2230,Bejaia,20,0,,,TRUE
2231,Ras El Oued,20,0,,,TRUE
2232,Ede,40,0,,,TRUE
2236,Erin-osun,20,0,,,TRUE
2237,Koko,20,0,,,TRUE
2238,Argungu,40,0,,,TRUE
2239,New Bussa,20,0,,,TRUE
2240,Ilorin,20,0,,,TRUE
2241,Osogbo,20,0,,,TRUE
2242,Ouled Djellal,20,0,,,TRUE
2243,Ife,20,0,,,TRUE
